date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:09	30908/30908	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2019:25:06%20GMT	https://affl4.ddlmob.com/go/iphonegiftcenter2	C:/My%20Web%20Sites/https___affl4.ddlmob.com_go_iphonegiftcenter2/affl4.ddlmob.com/go/iphonegiftcenter2.html	(from )
18:05:12	44/44	---MCZ	200	added ('OK')	text/plain	etag:W/%22635209b8-18%22	https://affl4.ddlmob.com/robots.txt		(from )
18:05:13	164/164	---M--	307	error ('Temporary%20Redirect')	text/html	date:Fri,%2021%20Oct%202022%2019:25:10%20GMT	http://affl.ddlmob.com/ddlmob.com/affl4/go/web/iphonegiftcenter2/icn-gift.png	C:/My%20Web%20Sites/https___affl4.ddlmob.com_go_iphonegiftcenter2/affl.ddlmob.com/ddlmob.com/affl4/go/web/iphonegiftcenter2/icn-gift.1.delayed	(from https://affl4.ddlmob.com/go/iphonegiftcenter2)
18:05:14	1103/1103	---M--	200	added ('OK')	image/png	etag:%22635209b6-44f%22	https://affl.ddlmob.com/ddlmob.com/affl4/go/web/iphonegiftcenter2/icn-gift.png	C:/My%20Web%20Sites/https___affl4.ddlmob.com_go_iphonegiftcenter2/affl.ddlmob.com/ddlmob.com/affl4/go/web/iphonegiftcenter2/icn-gift.png	(from https://affl4.ddlmob.com/go/iphonegiftcenter2)
18:05:15	164/164	---M--	307	error ('Temporary%20Redirect')	text/html	date:Fri,%2021%20Oct%202022%2019:25:11%20GMT	http://affl.ddlmob.com/ddlmob.com/affl4/go/web/iphonegiftcenter2/img-14small.jpg	C:/My%20Web%20Sites/https___affl4.ddlmob.com_go_iphonegiftcenter2/affl.ddlmob.com/ddlmob.com/affl4/go/web/iphonegiftcenter2/img-14small.jpg	(from https://affl4.ddlmob.com/go/iphonegiftcenter2)
18:05:15	11152/11152	---M--	200	added ('OK')	image/jpeg	etag:%22635209b6-2b90%22	https://affl.ddlmob.com/ddlmob.com/affl4/go/web/iphonegiftcenter2/img-14small.jpg	C:/My%20Web%20Sites/https___affl4.ddlmob.com_go_iphonegiftcenter2/affl.ddlmob.com/ddlmob.com/affl4/go/web/iphonegiftcenter2/img-14small.jpg	(from https://affl4.ddlmob.com/go/iphonegiftcenter2)
18:05:20	16855/16855	---M--	200	added ('OK')	text/javascript	date:Thu,%2021%20Sep%202017%2023:29:37%20GMT	https://www.gstatic.com/firebasejs/4.4.0/firebase-app.js	C:/My%20Web%20Sites/https___affl4.ddlmob.com_go_iphonegiftcenter2/www.gstatic.com/firebasejs/4.4.0/firebase-app.js	(from https://affl4.ddlmob.com/go/iphonegiftcenter2)
18:05:20	95992/95992	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	C:/My%20Web%20Sites/https___affl4.ddlmob.com_go_iphonegiftcenter2/ajax.googleapis.com/ajax/libs/jquery/1.11.3/jquery.min.js	(from https://affl4.ddlmob.com/go/iphonegiftcenter2)
18:05:20	18630/18630	---M--	200	added ('OK')	text/javascript	date:Thu,%2021%20Sep%202017%2023:29:37%20GMT	https://www.gstatic.com/firebasejs/4.4.0/firebase-messaging.js	C:/My%20Web%20Sites/https___affl4.ddlmob.com_go_iphonegiftcenter2/www.gstatic.com/firebasejs/4.4.0/firebase-messaging.js	(from https://affl4.ddlmob.com/go/iphonegiftcenter2)
18:05:20	13696/13696	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d6a-3580%22	https://cdnjs.cloudflare.com/ajax/libs/axios/0.19.0/axios.min.js	C:/My%20Web%20Sites/https___affl4.ddlmob.com_go_iphonegiftcenter2/cdnjs.cloudflare.com/ajax/libs/axios/0.19.0/axios.min.js	(from https://affl4.ddlmob.com/go/iphonegiftcenter2)
